Agency Expense,Agency Name
$2.7B,Department of Agriculture
$2.8B,Department of Commerce
$36B,Department of Defense
$7.0B,Department of Health and Human Services
$1.5B,Department of the Interior
$3.1B,Department of Justice
$819M,Department of Labor
$2.6B,Department of State
$5.4B,Department of the Treasury
$2.0B,Social Security Administration
$1.0B,Department of Education
$3.1B,Department of Energy
$385M,Environmental Protection Agency
$3.5B,Department of Transportation
$765M,General Services Administration
$7.4B,Department of Homeland Security
$447M,Department of Housing and Urban Development
$2.2B,National Aeronautics and Space Administration
$125M,Office of Personnel Management
$129M,Small Business Administration
$9.1B,Department of Veterans Affairs
$256M,U.S. Agency for International Development
$275M,U.S. Army Corps of Engineers
$99.9M,National Archives and Records Administration
$136M,National Science Foundation
$141M,Nuclear Regulatory Commission
